WELL ,SUBSTRATE ,289-P1-0 ,289-P2-0 ,289-P3-0 ,289-P1-24,289-P2-24,289-P3-24,289-P1-48,289-P2-48,289-P3-48,289-P1-72,289-P2-72,289-P3-72,289-P1-96,289-P2-96,289-P3-96,289-P1-120,289-P2-120,289-P3-120,358-P1-0,358 -P2-0,358 -P3-0,358 -P1-24,358 -P2-24,358 -P3-24,358 -P1-48,358 -P2-48,358-P3-48,358-P1-72,358-P2-72,358-P3-72,358-P1-96,358-P2-96,358-P3-96,358-P1-120,358-P2-120,358-P3-120,366-P1-0,366-P2-0,366-P3-0,366-P1-24,366-P2-24,366-P3-24,366-P1-48,366-P2-48,366-P3-48,366-P1-72,366-P2-72,366-P3-72,366-P1-96,366-P2-96,366-P3-96,366-P1-120,366-P2-120,366-P3-120
E10,Lincomycin,-0.007,0.016,-0.004,0.398,0.499,0.44,1.06,1.054,0.989,1.152,1.144,1.04,1.113,1.185,1.115,1.047,1.19,1.109,0.021,0.034,0.044,0.438,0.498,0.471,0.931,0.957,0.909,1.032,1.067,1.045,1.02,1.033,0.992,1.01,1.042,0.985,-0.043,0.006,-0.257,0.379,0.4,0.378,0.863,0.874,0.882,0.972,0.995,1.023,0.999,1.011,1.072,0.974,0.99,1.052
E11,Guanidine HCl,0.002,0.004,0.011,0.779,0.766,0.772,1.062,1.043,1.038,1.293,1.292,1.24,1.037,1.015,1.004,0.946,0.959,0.952,0.015,0.013,0.033,0.893,0.71,0.726,1.261,0.96,0.916,1.429,1.132,1.107,1.217,1.078,1.087,1.178,0.955,0.936,-0.044,0.005,-0.3,0.695,0.688,0.779,0.996,1.022,0.983,1.141,1.14,1.119,0.898,0.9,0.936,0.888,0.896,0.909
E12,Niaproof 4,-0.026,-0.01,-0.034,0.865,0.978,0.941,1.365,1.371,1.281,1.57,1.325,1.307,1.165,1.164,1.106,1.058,1.176,1.261,-0.007,-0.002,-0.002,0.808,0.86,0.858,1.189,1.22,1.243,1.29,1.315,1.374,1.264,1.261,1.315,1.204,1.226,1.233,-0.057,-0.002,-0.389,0.79,0.768,0.705,1.092,1.113,1.003,1.241,1.291,1.169,1.209,1.279,1.258,1.155,1.225,1.308
F1,Pectin,-0.003,0.024,0.012,0.399,0.345,0.446,0.322,0.278,0.308,0.297,0.25,0.258,0.287,0.251,0.269,0.302,0.245,0.275,0.023,0.024,0.068,0.529,0.51,0.489,0.567,0.47,0.46,0.55,0.457,0.459,0.533,0.434,0.427,0.52,0.447,0.418,-0.022,0.03,-0.342,0.499,0.458,0.478,0.546,0.463,0.545,0.53,0.452,0.541,0.511,0.432,0.517,0.513,0.431,0.516
F2,D-Galacturonic Acid,-0.017,0.008,0.032,0.024,0.057,0.055,0.016,0.04,-0.001,-0.007,0.031,-0.03,-0.01,0.043,-0.016,0.014,0.038,-0.002,0.001,0.013,0.108,0.073,0.072,0.097,0.074,0.069,0.051,0.069,0.073,0.075,0.067,0.058,0.044,0.066,0.08,0.039,-0.015,0.007,-0.264,0.011,0.01,0.076,0.021,0.005,0.019,0.014,0.003,0.037,0.01,-0.004,0.019,0.007,-0.005,0.062
F3,L-Galactonic Acid Lactone,-0.028,-0.002,0.004,0.018,0.049,0.061,0.009,0.049,0.014,-0.004,0.046,-0.006,0.04,0.055,0.009,0.023,0.049,0.022,-0.006,0.007,0.07,0.068,0.088,0.128,0.063,0.084,0.077,0.059,0.089,0.097,0.061,0.079,0.063,0.057,0.096,0.064,-0.059,-0.011,-0.314,0.064,0.011,0.144,0.06,0.004,0.079,0.059,0.005,0.092,0.055,-0.001,0.078,0.051,-0.004,0.115
F4,D-Gluconic Acid,-0.014,0.004,0.008,0.655,0.629,0.576,1.002,0.975,0.888,0.765,0.74,0.68,0.702,0.713,0.65,0.717,0.717,0.682,0.031,-0.005,0.065,0.557,0.584,0.594,0.995,0.979,0.956,0.917,0.892,0.895,0.895,0.852,0.834,0.887,0.863,0.846,-0.059,-0.008,-0.329,0.542,0.49,0.496,1.003,0.981,0.973,0.906,0.901,0.933,0.86,0.857,0.888,0.859,0.849,0.911
F5,D-Glucuronic Acid,-0.022,0.001,0.001,-0.017,-0.02,0.008,-0.02,-0.02,-0.007,-0.021,-0.018,-0.031,-0.03,-0.001,-0.019,-0.008,-0.003,-0.011,0.011,0.012,0.084,0,-0.002,0.046,-0.009,-0.009,-0.007,-0.01,-0.002,0.02,-0.01,-0.014,-0.015,-0.014,-0.004,0.001,-0.046,0.008,-0.323,-0.031,0.002,0.045,-0.021,-0.009,-0.011,-0.021,-0.008,-0.007,-0.023,-0.012,-0.012,-0.033,-0.014,0.024
F6,Glucuronamide,-0.022,-0.009,-0.024,-0.022,-0.02,-0.002,-0.024,-0.018,-0.039,-0.05,-0.025,-0.063,-0.05,-0.014,-0.042,-0.021,-0.012,-0.031,-0.007,0,0.051,-0.01,0.007,0.033,-0.032,-0.008,-0.034,-0.029,0.008,0.002,-0.024,0,-0.024,-0.018,0.019,-0.004,-0.049,0.002,-0.314,-0.041,-0.01,0.048,-0.034,-0.02,-0.017,-0.029,-0.015,-0.013,-0.028,-0.003,-0.017,-0.025,-0.018,0.025
F7,Mucic Acid,0.136,-0.001,-0.003,0.056,-0.012,0.032,0.073,-0.009,-0.02,0.046,-0.014,-0.045,0.048,-0.005,-0.032,0.069,-0.007,-0.014,-0.002,0.01,0.058,-0.014,0.004,0.042,-0.017,0.002,0.003,-0.016,0.01,0.031,-0.016,-0.001,0.006,-0.014,0.019,0.028,0.021,0.007,-0.302,0.031,-0.006,0.071,0.046,-0.003,-0.002,0.043,-0.01,0.003,0.031,-0.013,0.001,0.029,-0.016,0.037
F8,Quinic Acid,-0.004,-0.009,-0.022,0.024,0.018,0.049,0.009,0.009,-0.008,-0.009,-0.006,-0.032,-0.02,0.002,-0.019,0.009,0.002,-0.007,-0.013,0.014,0.065,0.009,0.031,0.076,-0.002,0.021,0.021,-0.009,0.026,0.046,-0.014,0.012,0.011,-0.017,0.023,0.027,-0.042,0.002,-0.315,0.008,0.012,0.082,0.008,0,0.02,0.003,-0.003,0.019,-0.003,-0.011,0.011,-0.005,-0.016,0.054
F9,D-Saccharic Acid,-0.026,-0.014,-0.028,-0.004,0.003,0.015,-0.006,-0.004,-0.047,-0.036,-0.009,-0.061,-0.03,-0.001,-0.046,0.058,-0.002,-0.031,-0.013,-0.004,0.041,-0.006,-0.005,0.041,0.003,-0.003,-0.007,-0.019,0.002,0.015,-0.022,-0.011,-0.012,-0.024,0.004,-0.018,-0.049,-0.005,-0.328,-0.011,0.007,0.049,-0.006,-0.005,0.002,-0.01,-0.006,-0.003,-0.012,-0.012,-0.003,-0.013,-0.017,0.056
F10,Vancomycin,-0.021,-0.007,-0.017,0.79,0.836,0.84,1.113,1.118,1.103,1.14,1.157,1.111,1.217,1.337,1.289,1.521,1.47,1.474,-0.007,0.002,0.043,0.725,0.697,0.709,0.907,0.902,0.841,0.988,0.995,0.975,1.042,1.03,1.01,1.144,1.149,1.272,-0.051,0,-0.315,0.627,0.609,0.603,0.848,0.821,0.809,0.943,0.929,0.92,0.928,0.922,0.935,0.976,0.961,0.985
F11,Tetrazolium Violet,0.06,0.071,0.045,0.135,0.161,0.136,0.143,0.177,0.093,0.113,0.171,0.061,0.098,0.181,0.084,0.127,0.172,0.098,0.076,0.061,0.106,0.164,0.166,0.175,0.185,0.203,0.173,0.167,0.207,0.194,0.161,0.204,0.194,0.161,0.202,0.195,0.022,0.07,-0.268,0.144,0.144,0.168,0.198,0.167,0.122,0.178,0.161,0.122,0.175,0.158,0.113,0.174,0.159,0.113
F12,Tetrazolium Blue,0.052,0.073,0.03,1.053,1.593,1.427,2.717,2.731,2.71,2.763,2.772,2.731,2.704,2.779,2.746,2.822,2.788,2.763,0.08,0.062,0.057,0.95,0.943,1.05,2.503,2.487,2.585,2.672,2.65,2.671,2.72,2.703,2.704,2.739,2.738,2.734,0.01,0.062,-0.325,0.702,0.698,0.741,2.318,2.34,2.277,2.615,2.679,2.683,2.665,2.73,2.722,2.722,2.731,2.73
G1,p-Hydroxy-Phenylacetic Acid,-0.005,0.004,-0.023,-0.02,0.017,0.01,0.007,-0.009,-0.033,-0.019,-0.029,-0.084,-0.023,-0.019,-0.077,-0.01,-0.019,-0.072,-0.008,-0.005,0.05,-0.072,-0.074,-0.074,-0.09,-0.086,-0.089,-0.098,-0.087,-0.078,-0.1,-0.096,-0.093,-0.099,-0.082,-0.097,-0.045,-0.007,-0.358,-0.084,-0.051,-0.038,-0.085,-0.086,-0.085,-0.092,-0.09,-0.079,-0.093,-0.096,-0.079,-0.089,-0.092,-0.081
G2,Methyl Pyruvate,-0.02,-0.01,0.015,0.193,-0.066,0.212,0.475,-0.063,0.455,0.32,-0.075,0.33,0.319,-0.063,0.344,0.344,-0.061,0.357,0,-0.006,0.08,0.402,0.403,0.455,0.804,0.792,0.751,0.745,0.749,0.737,0.735,0.729,0.698,0.727,0.743,0.699,-0.043,-0.009,-0.224,0.435,0.382,0.446,0.806,0.785,0.747,0.763,0.733,0.741,0.746,0.718,0.715,0.735,0.716,0.737
G3,D-Lactic Acid Methyl Ester,0.004,0.024,0.04,-0.003,0.009,0.017,-0.016,-0.002,-0.024,-0.031,-0.008,-0.046,-0.025,0.004,-0.03,0.045,0.005,-0.017,0.052,0.003,0.09,0.052,0,0.026,0.046,0,-0.014,0.045,0.006,0.009,0.043,-0.006,-0.024,0.049,0.011,-0.024,-0.038,0,-0.27,-0.009,0.011,0.083,0.002,0.004,0.011,-0.001,0.007,0.026,-0.004,-0.006,0.009,-0.006,-0.005,0.036
G4,L-Lactic Acid,-0.018,-0.013,-0.007,0.008,0.009,0.024,-0.012,-0.008,-0.027,-0.031,-0.008,-0.046,-0.028,0.004,-0.039,0.003,0,-0.026,0.029,-0.004,0.062,0.054,0.025,0.05,0.044,0.013,-0.005,0.035,0.014,0.016,0.029,0.002,-0.018,0.029,0.015,-0.017,-0.056,-0.006,-0.291,-0.009,0.015,0.084,-0.008,0.002,0.004,-0.013,-0.001,0.013,-0.018,-0.01,0.001,-0.019,-0.011,0.031
G5,Citric Acid,-0.027,-0.011,-0.012,0.067,0.257,0.139,0.82,0.718,0.98,0.867,0.755,0.771,0.847,0.764,0.773,0.715,0.78,0.791,0.001,-0.008,0.053,0.176,0.216,0.293,0.975,0.975,0.919,0.917,0.883,0.856,0.871,0.84,0.794,0.842,0.821,0.764,-0.058,-0.008,-0.301,0.241,0.162,0.113,1.016,1.022,0.899,0.91,0.926,1.017,0.856,0.86,0.925,0.815,0.82,0.915
G6,α-Keto-Glutaric Acid,-0.024,-0.004,-0.031,0.006,0.003,0.001,-0.003,0.015,-0.037,-0.013,-0.006,-0.071,-0.012,0.003,-0.059,0.011,0.003,-0.045,-0.001,0,0.047,0.004,-0.003,0.027,0.001,-0.005,-0.021,-0.001,0.002,0.007,-0.003,-0.012,-0.029,-0.006,0,-0.028,-0.049,-0.007,-0.324,-0.013,0.01,0.094,-0.003,0.005,0.004,-0.01,0,0.009,-0.013,-0.004,0.003,-0.014,-0.003,0.028
G7,D-Malic Acid,-0.025,-0.017,-0.01,-0.003,-0.004,0.027,-0.004,-0.003,-0.012,-0.035,-0.032,-0.048,-0.04,-0.024,-0.037,-0.012,-0.026,-0.025,0,-0.005,0.035,-0.014,-0.02,0.009,-0.022,-0.028,-0.036,-0.035,-0.031,-0.02,-0.041,-0.041,-0.046,-0.025,-0.021,-0.045,-0.044,-0.009,-0.34,-0.033,-0.013,0.053,-0.024,-0.026,-0.027,-0.029,-0.025,-0.016,-0.04,-0.035,-0.028,-0.038,-0.034,-0.004
G8,L-Malic Acid,-0.027,-0.014,-0.036,0.682,0.713,0.619,1.002,0.853,0.853,0.758,0.754,0.722,0.807,0.811,0.761,0.892,0.825,0.798,-0.01,-0.01,0.033,0.644,0.672,0.669,0.995,0.975,0.898,0.892,0.895,0.868,0.873,0.864,0.82,0.844,0.842,0.792,-0.058,-0.008,-0.349,0.62,0.631,0.654,0.982,0.999,0.999,0.927,0.911,0.917,0.852,0.882,0.894,0.818,0.855,0.893
G9,Bromo-Succinic Acid,0.041,0.029,0,0.175,0.262,0.224,0.154,0.231,0.126,0.114,0.188,0.103,0.1,0.189,0.117,0.195,0.184,0.137,0.001,0.001,0.056,0.184,0.221,0.277,0.284,0.298,0.328,0.286,0.314,0.36,0.289,0.307,0.328,0.3,0.334,0.332,-0.014,0.01,-0.295,0.21,0.135,0.183,0.272,0.219,0.292,0.283,0.238,0.305,0.272,0.232,0.307,0.276,0.227,0.324
G10,Nalidixic Acid,-0.019,-0.008,-0.028,-0.062,-0.057,-0.052,-0.054,-0.047,-0.079,-0.075,-0.056,-0.107,0.071,-0.044,-0.091,-0.054,-0.043,-0.079,0.001,-0.003,0.05,-0.08,-0.087,-0.043,-0.092,-0.094,-0.098,-0.097,-0.092,-0.07,-0.097,-0.097,-0.101,-0.094,-0.086,-0.1,-0.047,-0.002,-0.313,-0.093,-0.076,-0.002,-0.087,-0.088,-0.095,-0.094,-0.089,-0.088,-0.094,-0.096,-0.095,-0.087,-0.089,-0.06
G11,Lithium Chloride,-0.007,0.004,0.001,-0.03,0.242,0.012,0.083,0.578,0.081,0.075,0.521,0.05,0.232,0.506,0.066,0.083,0.494,0.075,0.013,0.018,0.048,-0.073,-0.032,-0.012,-0.086,0.097,0.051,-0.093,0.125,0.092,-0.094,0.122,0.09,-0.092,0.142,0.096,-0.031,0.011,-0.356,-0.064,-0.019,-0.006,0.031,0.035,-0.075,0.048,0.062,-0.062,0.057,0.073,-0.065,0.06,0.082,-0.058
G12,Potassium Tellurite,-0.019,-0.007,-0.029,-0.062,-0.064,-0.061,-0.056,-0.059,-0.088,-0.078,-0.07,-0.118,-0.041,-0.058,-0.104,-0.058,-0.057,-0.088,-0.007,-0.005,-0.006,-0.082,-0.079,-0.087,-0.076,-0.048,-0.071,-0.046,-0.029,-0.042,-0.014,0.019,-0.004,0.025,0.071,0.034,-0.054,-0.004,-0.387,-0.093,-0.064,-0.066,-0.059,-0.043,-0.081,-0.025,-0.019,-0.025,0,-0.003,-0.008,-0.001,0.04,0.011
H1,Tween 40,0.023,0.15,0.045,0.333,0.418,0.367,0.709,0.709,0.625,0.765,0.701,0.59,0.722,0.697,0.516,0.703,0.642,0.501,0.019,0.027,0.055,0.324,0.401,0.399,0.635,0.663,0.628,0.697,0.718,0.686,0.723,0.732,0.712,0.737,0.762,0.725,-0.02,0.014,-0.289,0.315,0.304,0.239,0.644,0.628,0.551,0.707,0.708,0.687,0.726,0.72,0.705,0.754,0.745,0.722
H2,γ-Amino-Butryric Acid,-0.02,-0.018,-0.002,0.009,-0.01,0.007,-0.018,-0.022,-0.042,-0.031,-0.034,-0.065,-0.022,-0.007,-0.044,0.007,-0.001,-0.027,-0.013,-0.008,0.054,0.012,0.018,0.015,0.004,0.01,0.003,0.001,0.006,0.002,0.01,0.007,-0.001,0.007,0.026,0.003,-0.051,-0.009,-0.306,-0.002,-0.006,0.071,0.011,-0.008,0.017,0.004,-0.015,0.023,0.007,-0.014,0.022,0.012,-0.013,0.021
H3,α-Hydroxy-Butyric Acid,-0.028,-0.018,-0.035,0.007,-0.014,0.005,-0.014,-0.029,-0.045,-0.032,-0.027,-0.062,-0.031,-0.017,-0.049,0,-0.023,-0.037,-0.014,-0.01,0.023,0.009,0.01,0.003,-0.008,0.003,-0.014,-0.013,0.007,-0.009,-0.017,-0.005,-0.01,-0.008,0.012,-0.009,-0.056,-0.01,-0.354,-0.006,0.019,0.071,0.003,0.004,0.012,-0.005,0.003,0.022,-0.007,-0.007,0.02,-0.006,-0.003,0.033
H4,"β-Hydroxy-D,L-Butyric Acid",-0.018,-0.01,-0.038,0.056,0.017,0.035,0.018,0.086,-0.016,0.021,0.034,-0.015,0.045,0.068,0.003,0.081,0.077,0.02,-0.012,-0.009,0.01,0.034,0.067,0.043,0.045,0.072,0.043,0.063,0.088,0.065,0.063,0.104,0.065,0.079,0.128,0.077,-0.059,-0.008,-0.313,0.025,0.044,0.071,0.045,0.044,0.024,0.049,0.061,0.054,0.072,0.071,0.054,0.071,0.076,0.064
H5,α-Keto-Butyric Acid,-0.019,-0.016,-0.034,0.024,0.036,0.061,0.229,0.228,0.236,0.376,0.39,0.353,0.493,0.485,0.464,0.55,0.526,0.541,-0.007,-0.001,-0.003,-0.003,-0.003,0.02,0.124,0.139,0.196,0.206,0.177,0.346,0.291,0.232,0.388,0.347,0.286,0.426,-0.042,0.001,-0.377,-0.033,-0.011,0.012,0.154,0.046,0.078,0.241,0.103,0.254,0.301,0.143,0.31,0.316,0.161,0.353
H6,Acetoacetic Acid,-0.025,-0.008,-0.033,0.06,0.097,0.117,0.093,0.087,0.079,0.077,0.083,0.048,0.08,0.098,0.06,0.095,0.097,0.079,-0.007,0.003,-0.004,-0.046,-0.037,-0.05,-0.007,0.015,-0.007,0.021,0.063,0.037,0.042,0.123,0.09,0.119,0.172,0.109,-0.046,-0.006,-0.392,-0.061,-0.048,-0.029,-0.004,-0.019,-0.053,0.051,0.015,-0.022,0.092,0.03,-0.027,0.104,0.086,0.006
H7,Propionic Acid,-0.002,0.008,-0.009,0.019,0.043,0.081,0.082,0.128,0.201,0.174,0.244,0.281,0.282,0.444,0.384,0.403,0.566,0.47,0.003,-0.004,0,0.003,0.011,0.01,0.1,0.11,0.094,0.161,0.147,0.147,0.263,0.208,0.189,0.438,0.412,0.259,-0.022,-0.002,-0.366,-0.025,-0.002,0.04,0.031,0.074,0.035,0.09,0.151,0.107,0.166,0.242,0.168,0.239,0.343,0.219
H8,Acetic Acid,-0.026,-0.015,-0.034,0.252,0.365,0.274,0.557,0.671,0.6,0.694,0.782,0.622,0.779,0.756,0.69,0.728,0.704,0.669,-0.01,-0.001,0.001,0.011,0.2,-0.012,0.121,0.77,0.055,0.574,0.773,0.124,0.772,0.718,0.518,0.791,0.699,0.742,-0.059,0.005,-0.391,0.055,0.169,0.015,0.645,0.731,0.059,0.764,0.804,0.463,0.735,0.769,0.778,0.715,0.76,0.763
H9,Formic Acid,-0.029,-0.02,-0.036,-0.01,0.078,0.057,0.232,0.2,0.295,0.247,0.268,0.279,0.271,0.259,0.313,0.301,0.249,0.321,-0.009,-0.005,-0.01,-0.07,-0.07,-0.062,-0.075,-0.063,-0.069,-0.074,-0.057,-0.05,-0.071,-0.052,-0.049,-0.069,-0.035,-0.048,-0.058,-0.004,-0.395,-0.092,-0.063,-0.03,-0.079,-0.066,-0.08,-0.069,-0.053,-0.054,-0.061,-0.045,-0.058,-0.054,-0.047,-0.052
H10,Aztreonam,-0.018,-0.013,-0.03,-0.062,-0.053,-0.051,-0.051,-0.032,-0.066,-0.071,-0.034,-0.093,0.065,-0.021,-0.075,-0.048,-0.018,-0.059,-0.007,-0.001,-0.003,-0.047,-0.042,-0.047,-0.034,-0.017,-0.023,-0.013,0.023,0.016,0.01,0.042,0.027,0.028,0.079,0.046,-0.051,-0.003,-0.386,-0.079,-0.06,-0.023,-0.042,-0.052,-0.072,-0.019,-0.036,-0.051,-0.006,-0.037,-0.052,0.012,-0.024,-0.041
H11,Sodium Butyrate,-0.021,0.001,-0.028,-0.06,-0.041,-0.045,-0.023,0.189,0.053,-0.02,0.312,0.263,0.16,0.366,0.313,0.017,0.48,0.376,-0.002,0.001,-0.003,-0.055,-0.063,-0.07,0.031,0.047,0.087,0.344,0.509,0.616,0.772,0.735,0.812,0.885,0.852,0.887,-0.035,0.002,-0.385,-0.081,-0.059,-0.062,-0.007,0.053,-0.083,0.384,0.533,-0.036,0.705,0.754,0.277,0.796,0.849,0.515
H12,Sodium Bromate,-0.024,0.013,-0.019,-0.023,0.022,0.017,-0.037,0.008,-0.041,-0.067,-0.032,-0.087,0.057,-0.019,-0.071,0.002,-0.019,-0.059,0,-0.002,-0.003,0.077,0.079,0.056,0.13,0.131,0.102,0.193,0.208,0.177,0.382,0.471,0.426,0.614,0.68,0.639,-0.04,0.002,-0.371,-0.028,0.059,-0.039,-0.014,0.091,0.011,-0.044,0.199,0.03,-0.057,0.755,0.087,0.091,0.708,0.286
