module	genome_name	db_name	stepwise_module_completeness	stepwise_module_is_complete	step_id	step	step_completeness	step_copy_number
M00848	KMM366	KMM366	0.0	False	5	K21271	0	0
M00848	KMM366	KMM366	0.0	False	6	K22801	0	0
M00848	KMM366	KMM366	0.0	False	7	K22802	0	0
M00850	KMM366	KMM366	0.16666666666666666	False	0	(K10928+K10929)	0	0
M00850	KMM366	KMM366	0.16666666666666666	False	1	K10954	1	1
M00850	KMM366	KMM366	0.16666666666666666	False	2	K10952	0	0
M00850	KMM366	KMM366	0.16666666666666666	False	3	K10953	0	0
M00850	KMM366	KMM366	0.16666666666666666	False	4	K10948	0	0
M00850	KMM366	KMM366	0.16666666666666666	False	5	K11018	0	0
M00542	KMM366	KMM366	0.125	False	0	K03221+K03219+K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225	1	1
M00542	KMM366	KMM366	0.125	False	1	K12784	0	0
M00542	KMM366	KMM366	0.125	False	2	K12787	0	0
M00542	KMM366	KMM366	0.125	False	3	K12785	0	0
M00542	KMM366	KMM366	0.125	False	4	K12786	0	0
M00542	KMM366	KMM366	0.125	False	5	K12788	0	0
M00542	KMM366	KMM366	0.125	False	6	K16041	0	0
M00542	KMM366	KMM366	0.125	False	7	K16042	0	0
M00856	KMM366	KMM366	0.25	False	0	K11014	0	0
M00856	KMM366	KMM366	0.25	False	1	K11023	1	1
M00856	KMM366	KMM366	0.25	False	2	K19298	0	0
M00856	KMM366	KMM366	0.25	False	3	K22918	0	0
M00575	KMM366	KMM366	0.2	False	0	K22944	0	0
M00575	KMM366	KMM366	0.2	False	1	K11004	0	0
M00575	KMM366	KMM366	0.2	False	2	K07389	0	0
M00575	KMM366	KMM366	0.2	False	3	K11003	0	0
M00575	KMM366	KMM366	0.2	False	4	K12340	1	2
M00574	KMM366	KMM366	0.25	False	0	K11023	1	1
M00574	KMM366	KMM366	0.25	False	1	-K11024	1	
M00574	KMM366	KMM366	0.25	False	2	K11025	0	0
M00574	KMM366	KMM366	0.25	False	3	K11026	0	0
M00574	KMM366	KMM366	0.25	False	4	K11027	0	0
M00564	KMM366	KMM366	0.043478260869565216	False	0	K15842	0	0
M00564	KMM366	KMM366	0.043478260869565216	False	1	K12086	0	0
