module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings	pathwise_copy_number	stepwise_copy_number	per_step_copy_numbers
M00005	KMM289	KMM289	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	1.0	True	1.0	K00948	1	K00948	3645	None	1	1	1
M00008	KMM289	KMM289	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00036 (K01057,K07404) K01690 K01625"	0.5	False	0.5	False	1.0	K01690	1	K01625,K01625,K01690	2363,1622,2364	K01625 is present in multiple modules: M00008/M00308/M00631/M00061	0	0	0,0,1,2
M00308	KMM289	KMM289	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)"	0.75	True	0.8	True	NA	No enzymes unique to module	NA	K00134,K00134,K00874,K00927,K01625,K01625	1923,3531,1623,1783,2363,1622	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00874 is present in multiple modules: M00308/M00631/M00061,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01625 is present in multiple modules: M00008/M00308/M00631/M00061	1	0	0,1,2,1
M00014	KMM289	KMM289	Glucuronate pathway (uronate pathway)	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854"	0.125	False	0.1111111111111111	False	NA	No enzymes unique to module	NA	K00012	3400	'--' steps are assumed incomplete,K00012 is present in multiple modules: M00014/M00129/M00997/M00999/M00761	0	0	1,0,0,0,0,0,0,0
M00631	KMM289	KMM289	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00874,K01625,K01625,K17463	1623,2363,1622,2218	K00874 is present in multiple modules: M00308/M00631/M00061,K01625 is present in multiple modules: M00008/M00308/M00631/M00061,K17463 is present in multiple modules: M00631/M00061	0	0	0,0,0,1,3
M00061	KMM289	KMM289	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00874,K01625,K01625,K17463	1623,2363,1622,2218	K00874 is present in multiple modules: M00308/M00631/M00061,K01625 is present in multiple modules: M00008/M00308/M00631/M00061,K17463 is present in multiple modules: M00631/M00061	0	0	0,0,0,1,3
M00632	KMM289	KMM289	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01785 K00849 K00965 K01784"	1.0	True	1.0	True	1.0	K01785	2	K00849,K00965,K01784,K01784,K01785,K01785	2418,2417,2416,1871,2419,3864	K00849 is present in multiple modules: M00632/M00554,K00965 is present in multiple modules: M00632/M00554,K01784 is present in multiple modules: M00632/M01004	1	1	2,1,1,2
M00552	KMM289	KMM289	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01684 K00883 K01631 K00134 K00927"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00134,K00134,K00927	1923,3531,1783	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612	0	0	0,0,0,2,1
M00129	KMM289	KMM289	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00963 K00012 K00699 K01195 K00002 K01053 K00103"	0.2857142857142857	False	0.2857142857142857	False	NA	No enzymes unique to module	NA	K00012,K00963	3400,3312	K00012 is present in multiple modules: M00014/M00129/M00997/M00999/M00761,K00963 is present in multiple modules: M00129/M00854/M00549	0	0	1,1,0,0,0,0,0
M00114	KMM289	KMM289	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225"	0.125	False	0.125	False	NA	No enzymes unique to module	NA	K01809,K01809	4041,539	K01809 is present in multiple modules: M00114/M01000/M01006	0	0	2,0,0,0,0,0,0,0
