module	db_name	module_name	module_substrates	module_intermediates	module_products	pathwise_module_completeness	stepwise_module_completeness
M00885	KMM366	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)	Acyl-carrier protein,Acetyl-CoA,Long-chain acyl-CoA	Long-chain 3-oxoacyl-[acyl-carrier protein],Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein],Long-chain acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated acyl-[acyl-carrier protein],Long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein],Very-long-chain trans-2-enoyl-[acyl-carrier protein],Very-long-chain acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein],Malonyl-CoA,Long-chain trans-2-enoyl-[acyl-carrier protein],Malonyl-[acyl-carrier protein],Very-long-chain 3-oxoacyl-[acyl-carrier protein]	None	0.4	0.4
M00886	KMM366	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	Acyl-carrier protein,Acetyl-CoA,Long-chain acyl-CoA	Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein],Ultra-long-chain di-unsaturated acyl-[acyl-carrier protein],Long-chain acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein],Ultra-long-chain di-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein],Ultra-long-chain di-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated acyl-[acyl-carrier protein],Long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein],Very-long-chain trans-2-enoyl-[acyl-carrier protein],Very-long-chain acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein],Long-chain 3-oxoacyl-[acyl-carrier protein],Malonyl-CoA,Long-chain trans-2-enoyl-[acyl-carrier protein],Malonyl-[acyl-carrier protein],Very-long-chain 3-oxoacyl-[acyl-carrier protein],Ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein]	None	0.3333333333333333	0.3333333333333333
M00088	KMM366	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	None	(S)-3-Hydroxy-3-methylglutaryl-CoA,Acetyl-CoA,Acetoacetate,Acetoacetyl-CoA	(R)-3-Hydroxybutanoate,Acetone	0.4	0.4
M00089	KMM366	Triacylglycerol biosynthesis	sn-Glycerol 3-phosphate	1-Acyl-sn-glycerol 3-phosphate,1,2-Diacyl-sn-glycerol,Phosphatidate	Triacylglycerol	0.25	0.25
M00098	KMM366	Acylglycerol degradation	Triacylglycerol	1-Acylglycerol,1,2-Diacyl-sn-glycerol	Glycerol	0.5	0.5
M00093	KMM366	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Phosphatidate	Phosphatidylserine,CDP-diacylglycerol	Phosphatidylethanolamine	1.0	1.0
M00048	KMM366	De novo purine biosynthesis, PRPP + glutamine => IMP	5-Phospho-alpha-D-ribose 1-diphosphate,L-Glutamine	Aminoimidazole ribotide,5-Phosphoribosylamine,1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole,5'-Phosphoribosyl-N-formylglycinamide,2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,5'-Phosphoribosylglycinamide	IMP	1.0	1.0
M00049	KMM366	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	IMP	ADP,AMP,N6-(1,2-Dicarboxyethyl)-AMP	ATP	1.0	1.0
M00050	KMM366	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	IMP	Xanthosine 5'-phosphate,GDP,GMP	GTP	1.0	1.0
M00053	KMM366	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	ADP,CDP,GDP,UDP	dADP,dGDP,dCDP,dUDP	dATP,dGTP,dUTP,dCTP	1.0	1.0
M00958	KMM366	Adenine ribonucleotide degradation, AMP => Urate	AMP	Inosine,Xanthine,IMP,Hypoxanthine,Adenosine	Urate	1.0	1.0
M00959	KMM366	Guanine ribonucleotide degradation, GMP => Urate	GMP	Guanine,Guanosine,Xanthine	Urate	1.0	1.0
M00546	KMM366	Purine degradation, xanthine => urea	Xanthine	5-Hydroxyisourate,Urate,Allantoate,(S)(+)-Allantoin,5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	Urea	0.2	0.2
M00051	KMM366	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	5-Phospho-alpha-D-ribose 1-diphosphate,L-Glutamine	Orotidine 5'-phosphate,(S)-Dihydroorotate,N-Carbamoyl-L-aspartate,Carbamoyl phosphate,Orotate	UMP	1.0	1.0
M00052	KMM366	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	UMP	CTP,UDP,UTP	CDP	1.0	1.0
M00938	KMM366	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	UDP	dUDP,dTMP,dUTP,dUMP,dTDP	dTTP	1.0	1.0
M00046	KMM366	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Thymine,Uracil	5,6-Dihydrouracil,3-Ureidopropionate,(R)-5,6-Dihydrothymine,(R)-3-Ureidoisobutyrate	(R)-3-Amino-2-methylpropanoate,beta-Alanine	0.3333333333333333	0.3333333333333333
M00939	KMM366	Pyrimidine degradation, uracil => 3-hydroxypropanoate	Uracil	(Z)-3-Peroxyaminoacrylate,(Z)-3-Ureidoacrylate peracid,Aminoacrylate,3-Oxopropanoate	3-Hydroxypropanoate	0.4	0.4
M00020	KMM366	Serine biosynthesis, glycerate-3P => serine	3-Phospho-D-glycerate	3-Phosphonooxypyruvate,O-Phospho-L-serine	L-Serine	1.0	1.0
M00018	KMM366	Threonine biosynthesis, aspartate => homoserine => threonine	L-Aspartate	O-Phospho-L-homoserine,L-Homoserine,4-Phospho-L-aspartate,L-Aspartate 4-semialdehyde	L-Threonine	1.0	1.0
M00621	KMM366	Glycine cleavage system	Tetrahydrofolate,Glycine	[H-protein]-S-aminomethyldihydrolipoyllysine,[H-protein]-dihydrolipoyllysine,[H-protein]-lipoyllysine	Ammonia,CO2,5,10-Methylenetetrahydrofolate	1.0	1.0
M00975	KMM366	Betaine degradation, bacteria, betaine => pyruvate	Betaine	L-Serine,Sarcosine,Glycine,N,N-Dimethylglycine	Pyruvate	0.5	0.5
M00033	KMM366	Ectoine biosynthesis, aspartate => ectoine	L-Aspartate	N-gamma-Acetyldiaminobutyrate,L-2,4-Diaminobutanoate,4-Phospho-L-aspartate,L-Aspartate 4-semialdehyde	Ectoine	0.4	0.4
M00021	KMM366	Cysteine biosynthesis, serine => cysteine	Hydrogen sulfide,L-Serine	O-Acetyl-L-serine	L-Cysteine	1.0	1.0
M00609	KMM366	Cysteine biosynthesis, methionine => cysteine	L-Methionine	S-Adenosyl-L-methionine,S-Adenosyl-L-homocysteine,S-Ribosyl-L-homocysteine,L-Homocysteine,L-Cystathionine	L-Cysteine	0.5	0.5
M00017	KMM366	Methionine biosynthesis, aspartate => homoserine => methionine	L-Aspartate	O-Succinyl-L-homoserine,L-Homoserine,L-Aspartate 4-semialdehyde,L-Homocysteine,4-Phospho-L-aspartate,L-Cystathionine	L-Methionine	1.0	1.0
M00034	KMM366	Methionine salvage pathway	None	S-Methyl-5-thio-D-ribose 1-phosphate,S-Adenosyl-L-methionine,1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one,S-Methyl-5-thio-D-ribulose 1-phosphate,2,3-Diketo-5-methylthiopentyl-1-phosphate,5-Methylthio-D-ribose,2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate,5'-Methylthioadenosine,4-Methylthio-2-oxobutanoic acid,L-Methionine,S-Adenosylmethioninamine	None	0.375	0.375
M00035	KMM366	Methionine degradation	L-Methionine,L-Serine	S-Adenosyl-L-methionine,L-Homocysteine,S-Adenosyl-L-homocysteine	L-Cystathionine	0.5	0.5
M00368	KMM366	Ethylene biosynthesis, methionine => ethylene	L-Methionine	S-Adenosyl-L-methionine,1-Aminocyclopropane-1-carboxylate	Ethylene	0.3333333333333333	0.3333333333333333
M00019	KMM366	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	2-Oxobutanoate,Pyruvate	(S)-2-Aceto-2-hydroxybutanoate,(S)-3-Methyl-2-oxopentanoic acid,3-Methyl-2-oxobutanoic acid,(S)-2-Acetolactate,(R)-2,3-Dihydroxy-3-methylpentanoate,3-Hydroxy-3-methyl-2-oxobutanoic acid,(R)-2,3-Dihydroxy-3-methylbutanoate,(R)-3-Hydroxy-3-methyl-2-oxopentanoate	L-Valine,L-Isoleucine	1.0	1.0
M00535	KMM366	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	Pyruvate	2-Methylmaleate,D-erythro-3-Methylmalate,(R)-2-Methylmalate	2-Oxobutanoate	0.6666666666666666	0.6666666666666666
M00570	KMM366	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	L-Threonine	(S)-2-Aceto-2-hydroxybutanoate,(S)-3-Methyl-2-oxopentanoic acid,2-Oxobutanoate,(R)-2,3-Dihydroxy-3-methylpentanoate,(R)-3-Hydroxy-3-methyl-2-oxopentanoate	L-Isoleucine	1.0	1.0
M00432	KMM366	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Acetyl-CoA,3-Methyl-2-oxobutanoic acid	alpha-Isopropylmalate,(2R,3S)-3-Isopropylmalate	4-Methyl-2-oxopentanoate	1.0	1.0
M00036	KMM366	Leucine degradation, leucine => acetoacetate + acetyl-CoA	L-Leucine	3-Methylcrotonyl-CoA,3-Methylglutaconyl-CoA,Enzyme N6-(lipoyl)lysine,[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine,3-Methylbutanoyl-CoA,(S)-3-Hydroxy-3-methylglutaryl-CoA,4-Methyl-2-oxopentanoate,Enzyme N6-(dihydrolipoyl)lysine	Acetoacetate	0.875	0.6666666666666666
M00016	KMM366	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	L-Aspartate	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate,N-Succinyl-2-L-amino-6-oxoheptanedioate,LL-2,6-Diaminoheptanedioate,meso-2,6-Diaminoheptanedioate,2,3,4,5-Tetrahydrodipicolinate,L-Aspartate 4-semialdehyde,4-Phospho-L-aspartate,N-Succinyl-LL-2,6-diaminoheptanedioate	L-Lysine	1.0	1.0
M00525	KMM366	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	L-Aspartate	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate,N-Acetyl-L-2-amino-6-oxopimelate,LL-2,6-Diaminoheptanedioate,meso-2,6-Diaminoheptanedioate,N6-Acetyl-LL-2,6-diaminoheptanedioate,2,3,4,5-Tetrahydrodipicolinate,L-Aspartate 4-semialdehyde,4-Phospho-L-aspartate	L-Lysine	0.6666666666666666	0.6666666666666666
M00526	KMM366	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	L-Aspartate	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate,meso-2,6-Diaminoheptanedioate,2,3,4,5-Tetrahydrodipicolinate,L-Aspartate 4-semialdehyde,L-2-Amino-6-oxoheptanedioate,4-Phospho-L-aspartate	L-Lysine	0.8333333333333334	0.8333333333333334
M00527	KMM366	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	L-Aspartate	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate,LL-2,6-Diaminoheptanedioate,meso-2,6-Diaminoheptanedioate,2,3,4,5-Tetrahydrodipicolinate,L-Aspartate 4-semialdehyde,4-Phospho-L-aspartate	L-Lysine	0.8571428571428571	0.8571428571428571
M00032	KMM366	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	L-Lysine,Enzyme N6-(dihydrolipoyl)lysine	[Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine,L-2-Aminoadipate,Enzyme N6-(lipoyl)lysine,(S)-3-Hydroxybutanoyl-CoA,N6-(L-1,3-Dicarboxypropyl)-L-lysine,Crotonoyl-CoA,Glutaryl-CoA,2-Oxoadipate,L-2-Aminoadipate 6-semialdehyde	Acetoacetyl-CoA	0.1111111111111111	0.0
M00956	KMM366	Lysine degradation, bacteria, L-lysine => succinate	L-Lysine	5-Oxopentanoate,Glutarate,5-Aminopentanal,(S)-2-Hydroxyglutarate,2-Oxoglutarate,Cadaverine,5-Aminopentanoate	Succinate	0.42857142857142855	0.42857142857142855
M00957	KMM366	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA	L-Lysine	5-Oxopentanoate,Glutarate,(S)-3-Hydroxybutanoyl-CoA,(S)-2-Hydroxyglutarate,Crotonoyl-CoA,2-Oxoglutarate,Glutaryl-CoA,5-Aminopentanamide,Acetoacetyl-CoA,5-Aminopentanoate	Succinate,Acetyl-CoA	0.5555555555555556	0.4
M00960	KMM366	Lysine degradation, bacteria, L-lysine => D-lysine => succinate	L-Lysine	(R)-2-Hydroxyglutarate,(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate,L-2-Aminoadipate,6-Amino-2-oxohexanoate,D-Lysine,2-Oxoglutarate,L-Pipecolate,2-Oxoadipate,Delta1-Piperideine-2-carboxylate,L-2-Aminoadipate 6-semialdehyde	Succinate	0.2222222222222222	0.2222222222222222
M00028	KMM366	Ornithine biosynthesis, glutamate => ornithine	L-Glutamate	N-Acetyl-L-glutamate 5-phosphate,N-Acetyl-L-glutamate 5-semialdehyde,N-Acetylornithine,N-Acetyl-L-glutamate	L-Ornithine	1.0	1.0
M00844	KMM366	Arginine biosynthesis, ornithine => arginine	L-Aspartate,Carbamoyl phosphate,L-Ornithine	L-Citrulline,N-(L-Arginino)succinate	L-Arginine,Fumarate	1.0	1.0
M00845	KMM366	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	L-Glutamate,L-Aspartate,Carbamoyl phosphate	N-Acetyl-L-glutamate,N-Acetyl-L-glutamate 5-semialdehyde,L-Citrulline,N-Acetylornithine,N-(L-Arginino)succinate,N-Acetyl-L-glutamate 5-phosphate,N-Acetyl-L-citrulline	L-Arginine,Fumarate	0.7142857142857143	0.7142857142857143
M00029	KMM366	Urea cycle	NH3,L-Aspartate	L-Citrulline,L-Ornithine,N-(L-Arginino)succinate,L-Arginine,Carbamoyl phosphate	Fumarate,Urea	0.6	0.6
M00978	KMM366	Ornithine-ammonia cycle	None	L-Glutamine,L-Citrulline,N-(L-Arginino)succinate,Ammonia,L-Arginine,Carbamoyl phosphate	CO2	0.8333333333333334	0.8333333333333334
M00015	KMM366	Proline biosynthesis, glutamate => proline	L-Glutamate	L-Glutamyl 5-phosphate,L-Glutamate 5-semialdehyde,(S)-1-Pyrroline-5-carboxylate	L-Proline	1.0	1.0
M00970	KMM366	Proline degradation, proline => glutamate	L-Proline	L-Glutamate 5-semialdehyde,(S)-1-Pyrroline-5-carboxylate	L-Glutamate	1.0	1.0
M00972	KMM366	Proline metabolism	L-Ornithine	L-Glutamate 5-semialdehyde,(S)-1-Pyrroline-5-carboxylate,L-Proline	None	0.3333333333333333	0.3333333333333333
M00879	KMM366	Arginine succinyltransferase pathway, arginine => glutamate	L-Arginine	N2-Succinyl-L-ornithine,N2-Succinyl-L-arginine,N-Succinyl-L-glutamate,N-Succinyl-L-glutamate 5-semialdehyde	L-Glutamate	0.8	0.8
M00133	KMM366	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	S-Adenosyl-L-methionine,L-Arginine	Putrescine,Agmatine,S-Adenosylmethioninamine	Spermidine	0.25	0.25
M00134	KMM366	Polyamine biosynthesis, arginine => ornithine => putrescine	L-Arginine	L-Ornithine	Putrescine	0.5	0.5
M00136	KMM366	GABA biosynthesis, prokaryotes, putrescine => GABA	Putrescine	gamma-Glutamyl-gamma-aminobutyraye,gamma-Glutamyl-gamma-aminobutyraldehyde,gamma-L-Glutamylputrecine	4-Aminobutanoate	0.5	0.5
M00026	KMM366	Histidine biosynthesis, PRPP => histidine	5-Phospho-alpha-D-ribose 1-diphosphate	L-Histidinal,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide,Phosphoribosyl-AMP,3-(Imidazol-4-yl)-2-oxopropyl phosphate,1-(5-Phospho-D-ribosyl)-ATP,L-Histidinol,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide,L-Histidinol phosphate	L-Histidine	1.0	1.0
M00045	KMM366	Histidine degradation, histidine => N-formiminoglutamate => glutamate	L-Histidine	N-Formimino-L-glutamate,N-Formyl-L-glutamate,Urocanate,4-Imidazolone-5-propanoate	L-Glutamate	1.0	1.0
M00022	KMM366	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	D-Erythrose 4-phosphate,Phosphoenolpyruvate	Shikimate,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,Shikimate 3-phosphate,3-Dehydroquinate,3-Dehydroshikimate,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	Chorismate	1.0	1.0
M00023	KMM366	Tryptophan biosynthesis, chorismate => tryptophan	Chorismate	Indoleglycerol phosphate,N-(5-Phospho-D-ribosyl)anthranilate,Anthranilate,1-(2-Carboxyphenylamino)-1'-deoxy-D-ribulose 5'-phosphate	L-Tryptophan	1.0	1.0
M00024	KMM366	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	Chorismate	Prephenate,Phenylpyruvate	L-Phenylalanine	1.0	1.0
M00025	KMM366	Tyrosine biosynthesis, chorismate => HPP => tyrosine	Chorismate	3-(4-Hydroxyphenyl)pyruvate,Prephenate	L-Tyrosine	1.0	1.0
M00040	KMM366	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	Chorismate	Prephenate,L-Arogenate	L-Tyrosine	0.6666666666666666	0.6666666666666666
M00044	KMM366	Tyrosine degradation, tyrosine => homogentisate	L-Tyrosine	3-(4-Hydroxyphenyl)pyruvate,4-Maleylacetoacetate,Homogentisate,4-Fumarylacetoacetate	Fumarate,Acetoacetate	1.0	1.0
M00936	KMM366	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	L-Tryptophan	Tryptamine,N-Acetylserotonin,Serotonin	Melatonin	0.25	0.25
M00027	KMM366	GABA (gamma-Aminobutyrate) shunt	L-Glutamate	4-Aminobutanoate,Succinate semialdehyde	Succinate	0.6666666666666666	0.6666666666666666
M00118	KMM366	Glutathione biosynthesis, glutamate => glutathione	L-Glutamate	gamma-L-Glutamyl-L-cysteine	Glutathione	1.0	1.0
M00892	KMM366	UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc	D-Fructose 6-phosphate	N-Acetyl-alpha-D-glucosamine 1-phosphate,D-Glucosamine 6-phosphate,N-Acetyl-D-glucosamine 6-phosphate	UDP-N-acetyl-alpha-D-glucosamine	0.25	0.25
M00909	KMM366	UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc	D-Fructose 6-phosphate	N-Acetyl-alpha-D-glucosamine 1-phosphate,D-Glucosamine 6-phosphate,alpha-D-Glucosamine 1-phosphate	UDP-N-acetyl-alpha-D-glucosamine	1.0	1.0
M01002	KMM366	UDP-GalNAc biosynthesis, Fru-6P => UDP-GalNAc	D-Fructose 6-phosphate	D-Glucosamine 6-phosphate,N-Acetyl-alpha-D-galactosamine 1-phosphate,D-Galactosamine 6-phosphate,alpha-D-Galactosamine 1-phosphate	UDP-N-acetyl-D-galactosamine	0.25	0.25
M00996	KMM366	UDP-MurNAc biosynthesis, anhMurNAc => UDP-MurNAc	1,6-Anhydro-N-acetyl-beta-muramate	N-Acetylmuramic acid 6-phosphate,N-Acetylmuramic acid alpha-1-phosphate,N-Acetylmuramate	UDP-N-acetylmuramate	1.0	1.0
M00995	KMM366	UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc	D-Fructose 6-phosphate	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine,UDP-N-acetyl-alpha-D-glucosamine,alpha-D-Glucosamine 1-phosphate,N-Acetyl-alpha-D-glucosamine 1-phosphate,D-Glucosamine 6-phosphate	UDP-N-acetylmuramate	1.0	1.0
M00549	KMM366	UDP-Glc biosynthesis, Glc => UDP-Glc	alpha-D-Glucose	alpha-D-Glucose 6-phosphate,D-Glucose 1-phosphate	UDP-glucose	1.0	1.0
M01004	KMM366	UDP-Galf biosynthesis, UDP-Glc => UDP-Galf	UDP-glucose	UDP-alpha-D-galactose	UDP-alpha-D-galactofuranose	1.0	1.0
M00997	KMM366	UDP-Xyl/L-Ara biosynthesis, UDP-Glc => UDP-Xyl => UDP-L-Ala	UDP-glucose	UDP-glucuronate,UDP-D-xylose	UDP-L-arabinose	0.3333333333333333	0.3333333333333333
M00999	KMM366	UDP-GlcA/GalA biosynthesis, UDP-Glc => UDP-GlcA => UDP-GalA	UDP-glucose	UDP-glucuronate	UDP-D-galacturonate	1.0	1.0
M00554	KMM366	UDP-Gal biosynthesis, Gal => UDP-Gal	alpha-D-Galactose	alpha-D-Galactose 1-phosphate	UDP-alpha-D-galactose	1.0	1.0
M01000	KMM366	GDP-Man biosynthesis, Fru-6P => GDP-Man	D-Fructose 6-phosphate	D-Mannose 6-phosphate,D-Mannose 1-phosphate	GDP-mannose	0.6666666666666666	0.6666666666666666
M01015	KMM366	GDP-Man biosynthesis, Man => GDP-Man	D-Mannose	D-Mannose 6-phosphate,D-Mannose 1-phosphate	GDP-mannose	0.3333333333333333	0.0
M00923	KMM366	UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-2,6-dideoxy-beta-L-lyxo-4-hexulose,UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose,UDP-2-acetamido-2,6-dideoxy-beta-L-talose	UDP-N-acetyl-beta-L-fucosamine	0.3333333333333333	0.3333333333333333
M01007	KMM366	CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose,UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose,UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine,Pseudaminic acid,2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose	CMP-pseudaminic acid	0.5	0.5
M01009	KMM366	UDP-QuiNAc biosynthesis, UDP-GlcNAc => UDP-QuiNAc	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose	UDP-2-acetamido-2,6-dideoxy-alpha-D-glucose	1.0	1.0
M01032	KMM366	UDP-D-FucNAc biosynthesis, UDP-GlcNAc => UDP-D-FucNAc	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose	UDP-2-acetamido-2,6-dideoxy-alpha-D-galactose	0.5	0.5
M01033	KMM366	UDP-yelosamine biosynthesis, UDP-GlcNAc => UDP-yelosamine	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose,UDP-2-acetamido-4-amino-2,4,6-trideoxy-D-galactose	UDP-yelosamine	0.3333333333333333	0.3333333333333333
M01037	KMM366	UDP-D-FucNAc4N biosynthesis, UDP-GlcNAc => UDP-D-FucNAc4N	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose	UDP-2-acetamido-4-amino-2,4,6-trideoxy-D-galactose	0.5	0.5
M00063	KMM366	CMP-KDO biosynthesis, ribulose-5P => CMP-KDO	D-Ribulose 5-phosphate	D-Arabinose 5-phosphate,3-Deoxy-D-manno-octulosonate,3-Deoxy-D-manno-octulosonate 8-phosphate	CMP-3-deoxy-D-manno-octulosonate	1.0	1.0
M01014	KMM366	UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA	UDP-N-acetyl-alpha-D-glucosamine	UDP-N-acetyl-D-mannosamine	UDP-N-acetyl-D-mannosaminouronate	0.5	0.5
M01028	KMM366	GDP-DDmanHep biosynthesis, sedoheptulose-7P => GDP-DDmanHep	Sedoheptulose 7-phosphate	D-glycero-alpha-D-manno-Heptose 7-phosphate,D-glycero-alpha-D-manno-Heptose 1-phosphate,D-glycero-alpha-D-manno-Heptose 1,7-bisphosphate	GDP-D-glycero-alpha-D-manno-heptose	0.5	0.5
M00064	KMM366	ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep	Sedoheptulose 7-phosphate	D-glycero-D-manno-Heptose 1,7-bisphosphate,D-glycero-D-manno-Heptose 1-phosphate,D-glycero-D-manno-Heptose 7-phosphate,ADP-D-glycero-D-manno-heptose	ADP-L-glycero-D-manno-heptose	1.0	1.0
M00761	KMM366	Und-P-alpha-L-Ara4N biosynthesis, UDP-Glc => UDP-L-Ara4FN => Und-P-alpha-L-Ara4N	UDP-glucose	UDP-L-Ara4FN,UDP-L-Ara4O,Undecaprenyl phosphate alpha-L-Ara4FN,UDP-glucuronate,UDP-L-Ara4N	Undecaprenyl phosphate alpha-L-Ara4N	0.2	0.2
M01029	KMM366	CDP-Tyv biosynthesis, Glc-1P => CDP-Par => CDP-Tyv	D-Glucose 1-phosphate	CDP-4-dehydro-6-deoxy-D-glucose,CDP-3,6-dideoxy-D-glucose,CDP-4-dehydro-3,6-dideoxy-D-glucose,CDP-glucose	CDP-3,6-dideoxy-D-mannose	0.4	0.4
M01030	KMM366	CDP-Abe biosynthesis, Glc-1P => CDP-Abe	D-Glucose 1-phosphate	CDP-4-dehydro-6-deoxy-D-glucose,CDP-4-dehydro-3,6-dideoxy-D-glucose,CDP-glucose	CDP-abequose	0.5	0.5
M01031	KMM366	CDP-Asc biosynthesis, Glc-1P => CDP-Asc	D-Glucose 1-phosphate	CDP-4-dehydro-6-deoxy-D-glucose,CDP-4-dehydro-3,6-dideoxy-D-glucose epimer,CDP-4-dehydro-3,6-dideoxy-D-glucose,CDP-glucose	CDP-ascarylose	0.4	0.4
M00793	KMM366	dTDP-L-Rha biosynthesis, Glc-1P => dTDP-L-Rha	D-Glucose 1-phosphate	dTDP-glucose,dTDP-4-dehydro-beta-L-rhamnose,dTDP-4-oxo-6-deoxy-D-glucose	dTDP-L-rhamnose	1.0	1.0
M01022	KMM366	dTDP-6-deoxy-L-Tal biosynthesis, Glc-1P => dTDP-6-deoxy-L-Tal	D-Glucose 1-phosphate	dTDP-glucose,dTDP-4-dehydro-beta-L-rhamnose,dTDP-4-oxo-6-deoxy-D-glucose	dTDP-6-deoxy-beta-L-talose	0.75	0.75
