module	db_name	module_name	module_substrates	module_intermediates	module_products	pathwise_module_completeness	stepwise_module_completeness
M00885	KMM289	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)	Acyl-carrier protein,Acetyl-CoA,Long-chain acyl-CoA	Long-chain 3-oxoacyl-[acyl-carrier protein],Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein],Long-chain acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated acyl-[acyl-carrier protein],Long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein],Very-long-chain trans-2-enoyl-[acyl-carrier protein],Very-long-chain acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein],Malonyl-CoA,Long-chain trans-2-enoyl-[acyl-carrier protein],Malonyl-[acyl-carrier protein],Very-long-chain 3-oxoacyl-[acyl-carrier protein]	None	0.4	0.4
M00886	KMM289	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	Acyl-carrier protein,Acetyl-CoA,Long-chain acyl-CoA	Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein],Ultra-long-chain di-unsaturated acyl-[acyl-carrier protein],Long-chain acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated trans-2-enoyl-[acyl-carrier protein],Ultra-long-chain di-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein],Ultra-long-chain di-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated acyl-[acyl-carrier protein],Long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein],Very-long-chain trans-2-enoyl-[acyl-carrier protein],Very-long-chain acyl-[acyl-carrier protein],Ultra-long-chain mono-unsaturated 3-oxo-fatty acyl-[acyl-carrier protein],Long-chain 3-oxoacyl-[acyl-carrier protein],Malonyl-CoA,Long-chain trans-2-enoyl-[acyl-carrier protein],Malonyl-[acyl-carrier protein],Very-long-chain 3-oxoacyl-[acyl-carrier protein],Ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein]	None	0.3333333333333333	0.3333333333333333
M00088	KMM289	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	None	(S)-3-Hydroxy-3-methylglutaryl-CoA,Acetyl-CoA,Acetoacetate,Acetoacetyl-CoA	(R)-3-Hydroxybutanoate,Acetone	0.4	0.4
M00089	KMM289	Triacylglycerol biosynthesis	sn-Glycerol 3-phosphate	1-Acyl-sn-glycerol 3-phosphate,1,2-Diacyl-sn-glycerol,Phosphatidate	Triacylglycerol	0.25	0.25
M00098	KMM289	Acylglycerol degradation	Triacylglycerol	1-Acylglycerol,1,2-Diacyl-sn-glycerol	Glycerol	0.5	0.5
M00093	KMM289	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Phosphatidate	Phosphatidylserine,CDP-diacylglycerol	Phosphatidylethanolamine	1.0	1.0
M00048	KMM289	De novo purine biosynthesis, PRPP + glutamine => IMP	5-Phospho-alpha-D-ribose 1-diphosphate,L-Glutamine	Aminoimidazole ribotide,5-Phosphoribosylamine,1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole,5'-Phosphoribosyl-N-formylglycinamide,2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,5'-Phosphoribosylglycinamide	IMP	1.0	1.0
M00049	KMM289	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	IMP	ADP,AMP,N6-(1,2-Dicarboxyethyl)-AMP	ATP	1.0	1.0
M00050	KMM289	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	IMP	Xanthosine 5'-phosphate,GDP,GMP	GTP	1.0	1.0
M00053	KMM289	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	ADP,CDP,GDP,UDP	dADP,dGDP,dCDP,dUDP	dATP,dGTP,dUTP,dCTP	1.0	1.0
